iter	Passed	Remaining
936	47070	3164
937	47117	3114
938	47157	3063
939	47204	3013
940	47248	2962
941	47287	2911
942	47335	2861
943	47374	2810
944	47417	2759
945	47524	2712
946	47621	2665
947	47698	2616
948	47740	2565
949	47785	2515
950	47823	2464
951	47879	2414
952	47930	2363
953	47973	2313
954	48017	2262
955	48070	2212
956	48137	2162
957	48237	2114
958	48351	2067
959	48396	2016
960	48433	1965
961	48495	1915
962	48547	1865
963	48585	1814
964	48627	1763
965	48665	1712
966	48765	1664
967	48833	1614
968	48895	1564
969	48950	1513
970	48993	1463
971	49042	1412
972	49094	1362
973	49146	1311
974	49190	1261
975	49243	1210
976	49291	1160
977	49338	1109
978	49384	1059
979	49431	1008
980	49482	958
981	49533	907
982	49776	860
983	49827	810
984	49884	759
985	49925	708
986	49973	658
987	50011	607
988	50109	557
989	50202	507
990	50251	456
991	50358	406
992	50427	355
993	50556	305
994	50597	254
995	50638	203
996	50680	152
997	50724	101
998	50771	50
999	50807	0
